6,0,2,1,4.5573,8.7139,0
6,0,2,2,3.7311,6.1679,6.1679
6,0,2,3,3.9703,0,8.7139
6,0,2,4,3.7166,-6.1679,6.1679
6,0,2,5,5.2723,-8.7139,0
6,0,2,6,5.3917,-6.1679,-6.1679
6,0,2,7,3.6889,-0,-8.7139
6,0,2,8,5.2668,6.1679,-6.1679
6,0,3,1,3.4112,17.428,0
6,0,3,2,2.1101,12.336,12.336
6,0,3,3,1.8879,0,17.428
6,0,3,4,2.0099,-12.336,12.336
6,0,3,5,3.1762,-17.428,0
6,0,3,6,3.4364,-12.336,-12.336
6,0,3,7,3.0002,-0,-17.428
6,0,3,8,3.0702,12.336,-12.336
7,1,1,1,5.8863,4.3749,0
7,1,1,2,5.3844,3.0839,3.0839
7,1,1,3,4.8472,0,4.3749
7,1,1,4,5.8503,-3.0839,3.0839
7,1,1,5,4.8848,-4.3749,0
7,1,1,6,5.1774,-3.0839,-3.0839
7,1,1,7,4.9744,-0,-4.3749
7,1,1,8,5.8015,3.0839,-3.0839
7,1,2,1,5.3534,8.7139,0
7,1,2,2,3.7975,6.1679,6.1679
7,1,2,3,3.5585,0,8.7139
7,1,2,4,3.8105,-6.1679,6.1679
7,1,2,5,6.9393,-8.7139,0
7,1,2,6,4.8349,-6.1679,-6.1679
7,1,2,7,5.4153,-0,-8.7139
7,1,2,8,4.9924,6.1679,-6.1679
7,1,3,1,3.2177,17.428,0
7,1,3,2,2.6135,12.336,12.336
7,1,3,3,2.3202,0,17.428
7,1,3,4,2.4661,-12.336,12.336
7,1,3,5,2.4855,-17.428,0
7,1,3,6,3.2905,-12.336,-12.336
7,1,3,7,3.2811,-0,-17.428
7,1,3,8,2.5859,12.336,-12.336
